mode,stage,stage_path,edit_path,input_ssim,input_psnr,input_mse,input_l2,output_ssim,output_psnr,output_mse,output_l2,arcface_original_vs_stage,arcface_clean_edit_vs_stage_edit,arcface_original_vs_clean_edit,arcface_stage_vs_stage_edit
delta_only,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/geometry_then_vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/geometry_then_vae_reconstruction_edit.png,0.9307835698127747,35.07654219401702,0.0003107032389380038,0.017626776192429625,0.341324120759964,9.101765934140829,0.1229768618941307,0.35068056959878846,0.9916027188301086,0.20299266278743744,0.9231302738189697,0.20014728605747223
delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/learned_combined_edit.png,0.9307594299316406,35.07638801680662,0.0003107142692897469,0.017627089075900958,0.3410426080226898,9.104188350255875,0.12290828675031662,0.3505827815941859,0.9916465878486633,0.2006964087486267,0.9231302738189697,0.19723431766033173
delta_only,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/learned_delta_only_edit.png,0.9307596683502197,35.07640266137235,0.00031071322155185044,0.017627059356337644,0.3417186737060547,9.099956846575203,0.12302809953689575,0.35075361656994464,0.9916388392448425,0.20993702113628387,0.9231302738189697,0.20490017533302307
delta_only,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/learned_geometry_on_original_edit.png,0.9887539744377136,42.61442603947994,5.477184822666459e-05,0.007400800512557043,0.33335670828819275,9.126587743264349,0.12227600067853928,0.349679854550615,0.9993746280670166,0.23895607888698578,0.9231302738189697,0.21251633763313293
delta_only,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/learned_geometry_on_reconstruction_edit.png,0.9307594299316406,35.07638801680662,0.0003107142692897469,0.017627089075900958,0.3410426080226898,9.104188350255875,0.12290828675031662,0.3505827815941859,0.9916465878486633,0.2006964087486267,0.9231302738189697,0.19723431766033173
delta_only,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/delta_only/vae_reconstruction_edit.png,0.9307596683502197,35.07640266137235,0.00031071322155185044,0.017627059356337644,0.3417186737060547,9.099956846575203,0.12302809953689575,0.35075361656994464,0.9916388392448425,0.20993702113628387,0.9231302738189697,0.20490017533302307
baseline,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/vae_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/smoke_image1_bspline/vae_reconstruction_edit.png,0.9307596683502197,35.07640266137235,0.00031071322155185044,0.017627059356337644,0.3417186737060547,9.099956846575203,0.12302809953689575,0.35075361656994464,0.9916388392448425,0.20993702113628387,0.9231302738189697,0.20490017533302307
