iterations,final_loss,input_ssim,input_arcface,clean_vs_delta_edit_ssim,clean_vs_delta_edit_arcface,delta_increment_ssim,delta_increment_arcface,root
1,0.26362234354019165,0.8231146335601807,0.941228985786438,0.8892146944999695,0.8325568437576294,1.0,1.0,C:\Users\parth\Desktop\experiment\amit_code\targeted_experiments\stage_attribution\delta_iteration_sweep_image2_jacket\iter_1
5,-4.08632755279541,0.821343183517456,0.5056641101837158,0.8906118869781494,0.8091312646865845,0.9576734900474548,0.8467111587524414,C:\Users\parth\Desktop\experiment\amit_code\targeted_experiments\stage_attribution\delta_iteration_sweep_image2_jacket\iter_5
10,-7.421153545379639,0.8142579197883606,0.16738393902778625,0.8951632380485535,0.6585303544998169,0.8909735679626465,0.6076788902282715,C:\Users\parth\Desktop\experiment\amit_code\targeted_experiments\stage_attribution\delta_iteration_sweep_image2_jacket\iter_10
20,-11.352675437927246,0.8001552224159241,-0.23168863356113434,0.48302629590034485,0.36655929684638977,0.5218726396560669,0.408760666847229,C:\Users\parth\Desktop\experiment\amit_code\targeted_experiments\stage_attribution\delta_iteration_sweep_image2_jacket\iter_20
30,-14.344770431518555,0.7883581519126892,-0.5366888046264648,0.4262305796146393,0.3331906199455261,0.4608362019062042,0.28006577491760254,C:\Users\parth\Desktop\experiment\amit_code\targeted_experiments\stage_attribution\image2_black_jacket_lens_30
