iter,mode,loss,arcface_identity_distance,arcface_identity_similarity,ssim_preservation_loss,pixel_preservation_loss,latent_regularisation,input_ssim,input_psnr,input_mse,seconds_iter,seconds_elapsed,peak_vram_gb
0,geometry_only_reconstruction,0.26349955797195435,0.05942380428314209,0.9405761957168579,0.17153024673461914,0.0008636002312414348,0.0,0.823954164981842,30.636886551052193,0.000863597437273711,0.1877303682267666,0.18789592944085598,0.8685307502746582
1,geometry_only_reconstruction,0.2574690878391266,0.060048699378967285,0.9399513006210327,0.1715739369392395,0.0008638610597699881,0.0,0.825183629989624,30.67836697140936,0.0008553882944397628,0.22264602780342102,0.4393219668418169,0.914431095123291
2,geometry_only_reconstruction,0.248801127076149,0.06095612049102783,0.9390438795089722,0.17165517807006836,0.0008643612964078784,0.0,0.8259986042976379,30.70786087145807,0.0008495988440699875,0.19574733264744282,0.6593529060482979,0.9144935607910156
3,geometry_only_reconstruction,0.23673184216022491,0.062220096588134766,0.9377799034118652,0.17176926136016846,0.0008650689851492643,0.0,0.8267315030097961,30.734309854012366,0.0008444404229521751,0.19595959410071373,0.8836611900478601,0.9144935607910156
4,geometry_only_reconstruction,0.22872942686080933,0.06309998035430908,0.9369000196456909,0.1719285249710083,0.000866035814397037,0.0,0.8274585604667664,30.759795157312517,0.0008394995820708573,0.21152855083346367,1.1286231111735106,0.9144935607910156
5,geometry_only_reconstruction,0.21798163652420044,0.0642775297164917,0.9357224702835083,0.17213404178619385,0.0008672653348185122,0.0,0.8281721472740173,30.783839721498385,0.0008348645642399788,0.2116334494203329,1.3638459853827953,0.9144935607910156
6,geometry_only_reconstruction,0.20686075091362,0.06551283597946167,0.9344871640205383,0.1723804473876953,0.0008687452063895762,0.0,0.8288602828979492,30.80612222875221,0.0008305920637212694,0.21896040439605713,1.606669595465064,0.9144935607910156
7,geometry_only_reconstruction,0.19421997666358948,0.06691807508468628,0.9330819249153137,0.17266273498535156,0.0008704551728442311,0.0,0.8295239806175232,30.826958179926258,0.0008266167133115232,0.1997734196484089,1.8302500080317259,0.9144935607910156
8,geometry_only_reconstruction,0.18172942101955414,0.06832736730575562,0.9316726326942444,0.17298316955566406,0.0008723929640837014,0.0,0.8301590085029602,30.846419202308375,0.0008229208760894835,0.21662013791501522,2.0774998012930155,0.9144935607910156
9,geometry_only_reconstruction,0.17074181139469147,0.06960678100585938,0.9303932189941406,0.1733444333076477,0.000874555145855993,0.0,0.8307697772979736,30.864671383370133,0.0008194696274586022,0.20634877122938633,2.3080646134912968,0.9144935607910156
10,geometry_only_reconstruction,0.15847034752368927,0.07103389501571655,0.9289661049842834,0.1737443208694458,0.0008769235573709011,0.0,0.8313515782356262,30.881433662577223,0.0008163128513842821,0.22009204141795635,2.551799952983856,0.9144935607910156
11,geometry_only_reconstruction,0.14752957224845886,0.07234865427017212,0.9276513457298279,0.1741856336593628,0.0008795087342150509,0.0,0.8319074511528015,30.896921209941084,0.0008134069503284991,0.19462084956467152,2.772605860605836,0.9144935607910156
12,geometry_only_reconstruction,0.13509215414524078,0.07383477687835693,0.9261652231216431,0.17467033863067627,0.0008823365205898881,0.0,0.8324375152587891,30.911199628504157,0.0008107370813377202,0.19532837718725204,2.9950674921274185,0.9144935607910156
13,geometry_only_reconstruction,0.1216420829296112,0.0754438042640686,0.9245561957359314,0.17519831657409668,0.0008854086045175791,0.0,0.8329388499259949,30.92420799210995,0.0008083123248070478,0.19829976186156273,3.2207850739359856,0.9144935607910156
14,geometry_only_reconstruction,0.11061376333236694,0.07683014869689941,0.9231698513031006,0.1757652759552002,0.0008887052536010742,0.0,0.8334057927131653,30.935962630611225,0.0008061275002546608,0.19378216937184334,3.4415778629481792,0.9144935607910156
15,geometry_only_reconstruction,0.09991299360990524,0.07820188999176025,0.9217981100082397,0.17636853456497192,0.0008922117995098233,0.0,0.833838939666748,30.946366164260077,0.0008041987312026322,0.19353144243359566,3.661534620448947,0.9144935607910156
16,geometry_only_reconstruction,0.0907488465309143,0.07942819595336914,0.9205718040466309,0.17698824405670166,0.0008958360995166004,0.0,0.8342266082763672,30.955006873415645,0.0008026002906262875,0.19833914563059807,3.8865568432956934,0.9144935607910156
17,geometry_only_reconstruction,0.08029694110155106,0.08078837394714355,0.9192116260528564,0.177618145942688,0.0008995280368253589,0.0,0.8345697522163391,30.961861869408494,0.0008013344486244023,0.22276769392192364,4.136832013726234,0.9144935607910156
18,geometry_only_reconstruction,0.07376881688833237,0.08175742626190186,0.9182425737380981,0.17825055122375488,0.0009032380185090005,0.0,0.8348701000213623,30.967168069736324,0.0008003559778444469,0.2095729112625122,4.380944257602096,0.9144935607910156
19,geometry_only_reconstruction,0.06744781136512756,0.0827021598815918,0.9172978401184082,0.17887574434280396,0.0009068891522474587,0.0,0.8351314663887024,30.970961824717623,0.0007996571366675198,0.20740234665572643,4.628795813769102,0.9144935607910156
