case,face_id,prompt,run,kind,warp_type,warp_components,mode,stage,input_ssim,input_psnr,output_ssim_vs_clean,output_psnr_vs_clean,output_l2_vs_clean,arcface_clean_vs_stage_edit,arcface_original_vs_stage_input,stage_path,edit_path
image2_black_jacket,image_2,Add a black jacket,combined_bspline_bezier_laplacian,combined,bspline+bezier+laplacian,bspline+bezier+laplacian,combined,learned_geometry_on_reconstruction,0.8280760645866394,30.61791643251445,0.9465219974517822,33.26351959164776,0.021718209613922883,0.9888204336166382,0.9423606395721436,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_delaunay,combined,bspline+delaunay,bspline+delaunay,combined,learned_combined,0.8054620623588562,28.5697378177462,0.8580705523490906,27.536940836426083,0.04199068488160554,0.5376814603805542,-0.1560869812965393,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_combined_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_delaunay,combined,bspline+delaunay,bspline+delaunay,combined,learned_delta_only,0.7990970611572266,28.47331640302944,0.7560171484947205,15.155577797667126,0.17467112206811097,0.39873576164245605,-0.14823660254478455,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_delta_only_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_delaunay,combined,bspline+delaunay,bspline+delaunay,combined,learned_geometry_on_original,0.9940122961997986,45.22647907315562,0.9581747055053711,34.157498392319724,0.01959408918138308,0.9882271885871887,0.9941589832305908,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_delaunay,combined,bspline+delaunay,bspline+delaunay,combined,learned_geometry_on_reconstruction,0.8297590613365173,30.634704575351442,0.9462217688560486,33.392535156732734,0.02139800290600059,0.9877147674560547,0.9319301843643188,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_lens,combined,bspline+lens,bspline+lens,combined,learned_combined,0.80832839012146,28.64523195051579,0.7636037468910217,19.2560784091823,0.10894218451959777,0.5010278224945068,-0.12150953710079193,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_combined_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_lens,combined,bspline+lens,bspline+lens,combined,learned_delta_only,0.8021661639213562,28.51300652192912,0.8035282492637634,18.347779819948883,0.12095143045732291,0.4800257086753845,-0.10504060983657837,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_delta_only_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_lens,combined,bspline+lens,bspline+lens,combined,learned_geometry_on_original,0.9627708792686462,37.4086786850756,0.9253806471824646,31.410949926303054,0.02688143839999316,0.9880627989768982,0.9953930377960205,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_lens,combined,bspline+lens,bspline+lens,combined,learned_geometry_on_reconstruction,0.8306982517242432,30.71066761394094,0.8758819103240967,22.797882017903714,0.07246126293099013,0.9141606688499451,0.9385775327682495,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_polar,combined,bspline+polar,bspline+polar,combined,learned_combined,0.8055925965309143,28.566263491082573,0.4868779480457306,10.996375266098521,0.28195593242986333,0.34783944487571716,-0.20326994359493256,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_combined_edit.png
