case,run,comparison,num_seeds,seeds,mean_edit_ssim,min_edit_ssim,max_edit_ssim,range_edit_ssim,mean_edit_l2,max_edit_l2
image2_black_jacket,combined_all,geometry_increment_after_delta,3,"1234,24001,34007",0.7193300127983093,0.6619985699653625,0.8156585693359375,0.15365999937057495,0.11887922786690597,0.19435068774196101
image2_black_jacket,combined_all,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.7415576179822286,0.6505931615829468,0.7909387946128845,0.14034563302993774,0.07540970570114784,0.10911036305319557
image2_black_jacket,combined_all,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.7832198937733968,0.768444836139679,0.8012694716453552,0.03282463550567627,0.08101967973535582,0.11903793177224434
image2_black_jacket,combined_bspline,geometry_increment_after_delta,3,"1234,24001,34007",0.9061455130577087,0.7230382561683655,0.9978153705596924,0.2747771143913269,0.07622440275518166,0.22248575308278043
image2_black_jacket,combined_bspline,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.9816972414652506,0.977534294128418,0.9843340516090393,0.006799757480621338,0.010047271483806243,0.012995680963417706
image2_black_jacket,combined_bspline,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.9828052520751953,0.9532422423362732,0.9976539611816406,0.04441171884536743,0.03344904232065812,0.0930804893429658
image2_black_jacket,combined_bspline_bezier_laplacian,geometry_increment_after_delta,3,"1234,24001,34007",0.8839091459910074,0.659099280834198,0.9965489506721497,0.33744966983795166,0.0678470016383413,0.1943448318669701
image2_black_jacket,combined_bspline_bezier_laplacian,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.9785526990890503,0.974193274974823,0.9813866019248962,0.007193326950073242,0.011431717804313343,0.014262544996996819
image2_black_jacket,combined_bspline_bezier_laplacian,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.9756603042284647,0.9345263838768005,0.9963564872741699,0.061830103397369385,0.04030949947629551,0.11193347200045257
image2_black_jacket,combined_bspline_tps,geometry_increment_after_delta,3,"1234,24001,34007",0.8838015198707581,0.6653068661689758,0.9938898682594299,0.3285830020904541,0.08582243625554381,0.23926639930730842
image2_black_jacket,combined_bspline_tps,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.9737903277079264,0.9677872657775879,0.9775866866111755,0.009799420833587646,0.012672101046814427,0.016294797184035106
