case,control,warp_type,warp_components,configured_iterations,configured_scale,mode,stage,input_ssim,input_psnr,output_ssim_vs_clean,output_psnr_vs_clean,output_l2_vs_clean,arcface_clean_vs_stage_edit,stage_path,edit_path
image4_red_scarf,all_iter50_scale05,all,bspline+polar+bezier+lens+mobius+laplacian+geodesic+diffgeom+delaunay+tps+rolling+fft+homography,50.0,0.5,geometry_only_original,learned_geometry_on_original,0.7946718335151672,24.068583531967253,0.7222365736961365,22.14530057668293,0.07811509606050726,0.40217193961143494,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_original/learned_geometry_on_original_edit.png
image4_red_scarf,all_iter50_scale05,all,bspline+polar+bezier+lens+mobius+laplacian+geodesic+diffgeom+delaunay+tps+rolling+fft+homography,50.0,0.5,geometry_only_reconstruction,learned_geometry_on_reconstruction,0.824792206287384,26.871693183634925,0.8436696529388428,26.048259696869877,0.04984103073577079,0.8503198027610779,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image4_red_scarf,bspline_iter100_scale1,bspline,bspline,100.0,1.0,combined,learned_combined,0.8221108317375183,27.528587245494172,0.801891565322876,25.514407062230518,0.053000460970899374,-0.35937684774398804,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/combined/learned_combined_edit.png
image4_red_scarf,bspline_iter100_scale1,bspline,bspline,100.0,1.0,combined,learned_delta_only,0.8210316300392151,27.522596860642846,0.7945277690887451,24.902473601528214,0.05686909537528593,-0.3712184429168701,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/combined/learned_delta_only_edit.png
image4_red_scarf,bspline_iter100_scale1,bspline,bspline,100.0,1.0,combined,learned_geometry_on_original,0.9976551532745361,51.066260872985964,0.9822835922241211,41.62093620496777,0.008297613272180974,0.9940646886825562,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/combined/learned_geometry_on_original_edit.png
image4_red_scarf,bspline_iter100_scale1,bspline,bspline,100.0,1.0,combined,learned_geometry_on_reconstruction,0.841661274433136,30.972904855479374,0.9495060443878174,34.701795185969445,0.018403915929277623,0.9844262599945068,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/combined/learned_geometry_on_reconstruction_edit.png
image4_red_scarf,bspline_iter100_scale1,bspline,bspline,100.0,1.0,geometry_only_original,learned_geometry_on_original,0.9421599507331848,33.48273786563598,0.9050255417823792,30.922955018424496,0.02843493560577073,0.9397356510162354,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/geometry_only_original/learned_geometry_on_original_edit.png
image4_red_scarf,bspline_iter100_scale1,bspline,bspline,100.0,1.0,geometry_only_reconstruction,learned_geometry_on_reconstruction,0.8470039963722229,30.75991109122718,0.9371850490570068,32.927003111973534,0.022576148048062905,0.9727875590324402,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image4_red_scarf,bspline_iter100_scale2,bspline,bspline,100.0,2.0,combined,learned_combined,0.8208432197570801,27.372953987962582,0.7928254008293152,24.729809751946313,0.05801088785759719,-0.40403562784194946,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_combined_edit.png
image4_red_scarf,bspline_iter100_scale2,bspline,bspline,100.0,2.0,combined,learned_delta_only,0.8193404674530029,27.36596010958051,0.7915242314338684,24.702891342902028,0.05819094805739697,-0.3998284339904785,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_delta_only_edit.png
image4_red_scarf,bspline_iter100_scale2,bspline,bspline,100.0,2.0,combined,learned_geometry_on_original,0.9975429177284241,50.527113702256095,0.9833464026451111,41.902314141735026,0.008033120709221858,0.9927248358726501,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_geometry_on_original_edit.png
image4_red_scarf,bspline_iter100_scale2,bspline,bspline,100.0,2.0,combined,learned_geometry_on_reconstruction,0.842214822769165,30.976289923299145,0.9493730664253235,34.73986431566467,0.018323430456115175,0.9856679439544678,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/combined/learned_geometry_on_reconstruction_edit.png
image4_red_scarf,bspline_iter100_scale2,bspline,bspline,100.0,2.0,geometry_only_original,learned_geometry_on_original,0.9295854568481445,32.392463637866776,0.8957108855247498,30.087525612819583,0.03130572164263495,0.9258818626403809,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_original/learned_geometry_on_original_edit.png
image4_red_scarf,bspline_iter100_scale2,bspline,bspline,100.0,2.0,geometry_only_reconstruction,learned_geometry_on_reconstruction,0.8432049751281738,30.308268060191843,0.9267464280128479,31.962125432779608,0.02522863353562301,0.9614343643188477,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__bspline_iter100_scale2/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image4_red_scarf,diffgeom_iter50_scale05,diffgeom,diffgeom,50.0,0.5,geometry_only_original,learned_geometry_on_original,0.8473434448242188,23.43705230077692,0.800087034702301,22.294969489054107,0.07678060423770036,0.6358941197395325,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__diffgeom_iter50_scale05/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__diffgeom_iter50_scale05/geometry_only_original/learned_geometry_on_original_edit.png
image4_red_scarf,diffgeom_iter50_scale05,diffgeom,diffgeom,50.0,0.5,geometry_only_reconstruction,learned_geometry_on_reconstruction,0.8195109367370605,28.217655995745528,0.8845040202140808,28.27150858502078,0.038585538953505874,0.8983374834060669,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__diffgeom_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__diffgeom_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image4_red_scarf,rolling_iter100_scale1,rolling,rolling,100.0,1.0,geometry_only_original,learned_geometry_on_original,0.9388275146484375,27.684521026731616,0.8963958621025085,26.90235936743564,0.04517332224125765,0.9143370985984802,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_original_edit.png
image4_red_scarf,rolling_iter100_scale1,rolling,rolling,100.0,1.0,geometry_only_reconstruction,learned_geometry_on_reconstruction,0.8357093334197998,29.73468660381542,0.9367379546165466,32.098786407103894,0.02483480073004823,0.9793047904968262,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
