case,face_id,prompt,run,warp_type,warp_components,mode,comparison,edit_ssim,edit_psnr,edit_l2,arcface_edit_cosine_similarity,left_edit_path,right_edit_path
image2_black_jacket,image_2,Add a black jacket,combined_bspline_bezier_laplacian,bspline+bezier+laplacian,bspline+bezier+laplacian,combined,delta_increment_after_reconstruction,0.6285196542739868,14.499153053779462,0.18838327698410445,0.33377277851104736,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/combined/learned_delta_only_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_bezier_laplacian,bspline+bezier+laplacian,bspline+bezier+laplacian,combined,geometry_on_original_effect,0.9755156636238098,36.93694020995685,0.014228299210629928,0.990161657333374,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/combined/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_bezier_laplacian,bspline+bezier+laplacian,bspline+bezier+laplacian,combined,geometry_on_reconstruction_effect,0.9345263838768005,19.020800497960618,0.11193347200045257,0.842171311378479,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_bezier_laplacian,bspline+bezier+laplacian,bspline+bezier+laplacian,combined,geometry_increment_after_delta,0.659099280834198,14.2285400779118,0.1943448318669701,0.4350760281085968,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/combined/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/combined/learned_combined_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_bezier_laplacian,bspline+bezier+laplacian,bspline+bezier+laplacian,combined,order_effect,0.8286056518554688,19.252766470469645,0.10898373220794239,0.5169309377670288,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/combined/learned_combined_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_bezier_laplacian/combined/geometry_then_vae_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_delaunay,bspline+delaunay,bspline+delaunay,combined,reconstruction_effect,0.8892146944999695,18.648265747324512,0.11683869904800422,0.8325568437576294,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/vae_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_delaunay,bspline+delaunay,bspline+delaunay,combined,delta_increment_after_reconstruction,0.8270577788352966,18.834254699983568,0.11436345441447919,0.44158899784088135,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_delta_only_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_delaunay,bspline+delaunay,bspline+delaunay,combined,geometry_on_original_effect,0.9581747055053711,34.157498392319724,0.01959408918138308,0.9882271885871887,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_delaunay,bspline+delaunay,bspline+delaunay,combined,geometry_on_reconstruction_effect,0.9254503846168518,18.89540508166928,0.1135611406047058,0.8451719284057617,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_delaunay,bspline+delaunay,bspline+delaunay,combined,geometry_increment_after_delta,0.8602597713470459,15.543889090722587,0.16703425541199912,0.5570516586303711,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_combined_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_delaunay,bspline+delaunay,bspline+delaunay,combined,order_effect,0.8650040626525879,27.95615182373502,0.04001219796060693,0.5567026138305664,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/learned_combined_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_delaunay/combined/geometry_then_vae_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_lens,bspline+lens,bspline+lens,combined,reconstruction_effect,0.8892146944999695,18.648265747324512,0.11683869904800422,0.8325568437576294,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/vae_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_lens,bspline+lens,bspline+lens,combined,delta_increment_after_reconstruction,0.8737295269966125,28.251111653331048,0.038676255211672596,0.5931694507598877,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_delta_only_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_lens,bspline+lens,bspline+lens,combined,geometry_on_original_effect,0.9253806471824646,31.410949926303054,0.02688143839999316,0.9880627989768982,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_lens,bspline+lens,bspline+lens,combined,geometry_on_reconstruction_effect,0.919177234172821,22.90828294756814,0.07154608145130233,0.8518690466880798,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_geometry_on_reconstruction_edit.png
