control,seed,stage,stage_path,edit_path,input_ssim,input_psnr,input_mse,input_l2,output_ssim,output_psnr,output_mse,output_l2,arcface_original_vs_stage,arcface_clean_edit_vs_stage_edit
image2_black_jacket__bspline_iter100_scale1,34007.0,combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale1/seed_34007/combined_edit.png,0.7873060703277588,26.168400433335947,0.002416350645944476,0.04915638967565129,0.7692618370056152,24.24387241940595,0.0037636805791407824,0.0613488433398771,-0.9750327467918396,0.19706764817237854
image2_black_jacket__bspline_iter100_scale1,34007.0,joint_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale1/seed_34007/joint_delta_only_edit.png,0.7857704758644104,26.149723318792923,0.0024267646949738264,0.0492622035131786,0.7685307860374451,24.314349256620652,0.003703096881508827,0.06085307618772306,-0.9749370217323303,0.22572751343250275
image2_black_jacket__bspline_iter100_scale2,1234.0,geometry_only_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_1234/geometry_only_original_edit.png,0.9289403557777405,33.707450872511544,0.000425848294980824,0.02063609204720758,0.895915687084198,30.939566007511317,0.0008054589270614088,0.028380608292660127,0.7993297576904297,0.9630360007286072
image2_black_jacket__bspline_iter100_scale2,1234.0,geometry_only_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_1234/geometry_only_reconstruction_edit.png,0.8297955393791199,30.391493293015476,0.0009137989836744964,0.030229108218313296,0.9335739016532898,32.53216507116065,0.0005581918521784246,0.02362608414821264,0.8380527496337891,0.9629953503608704
image2_black_jacket__bspline_iter100_scale2,1234.0,combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_1234/combined_edit.png,0.7867795825004578,26.18589755555785,0.0024066350888460875,0.04905746720781748,0.7608726620674133,23.91705930676199,0.004057832062244415,0.0637011150785009,-0.9706169962882996,0.09004993736743927
image2_black_jacket__bspline_iter100_scale2,1234.0,joint_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_1234/joint_delta_only_edit.png,0.7846014499664307,26.160584171646697,0.0024207034148275852,0.04920064445540917,0.7654908299446106,24.07971662486772,0.003908663988113403,0.0625193089222314,-0.9683811664581299,0.09281225502490997
image2_black_jacket__bspline_iter100_scale2,24001.0,geometry_only_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_24001/geometry_only_original_edit.png,0.9289403557777405,33.707450872511544,0.000425848294980824,0.02063609204720758,0.8806090950965881,29.258619177136985,0.0011861458187922835,0.03444046774932483,0.7993297576904297,0.9113713502883911
image2_black_jacket__bspline_iter100_scale2,24001.0,geometry_only_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_24001/geometry_only_reconstruction_edit.png,0.8297955393791199,30.391493293015476,0.0009137989836744964,0.030229108218313296,0.42993783950805664,8.971892703438517,0.1267099529504776,0.3559634151854339,0.8380527496337891,0.3207501769065857
image2_black_jacket__bspline_iter100_scale2,24001.0,combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_24001/combined_edit.png,0.7867795825004578,26.18589755555785,0.0024066350888460875,0.04905746720781748,0.4065192937850952,8.901127111213592,0.12879152595996857,0.3588753627096301,-0.9706169962882996,0.3392299711704254
image2_black_jacket__bspline_iter100_scale2,24001.0,joint_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_24001/joint_delta_only_edit.png,0.7846014499664307,26.160584171646697,0.0024207034148275852,0.04920064445540917,0.40072140097618103,8.853158619002082,0.13022193312644958,0.36086276217760344,-0.9683811664581299,0.3295873999595642
