case,control,warp_type,configured_iterations,configured_scale,mode,comparison,edit_ssim,edit_psnr,edit_l2,arcface_edit_cosine_similarity,left_edit_path,right_edit_path
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,geometry_only_reconstruction,geometry_increment_after_delta,0.5443782210350037,15.505865841904026,0.16776706541348485,0.35932886600494385,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_reconstruction/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_reconstruction/learned_combined_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,combined,delta_increment_after_reconstruction,0.430601567029953,9.96716121052973,0.31742559291381334,0.2802791893482208,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_delta_only_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,combined,geometry_on_original_effect,0.9823138117790222,38.55579307460608,0.011808924508320804,0.992997944355011,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_geometry_on_original_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,combined,geometry_on_reconstruction_effect,0.9829422831535339,29.813926239600374,0.03230752492261394,0.9182032942771912,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,combined,geometry_increment_after_delta,0.991161048412323,38.858076685103924,0.011405023008114341,0.9917661547660828,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_combined_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_original,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/learned_delta_only_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_original,geometry_on_original_effect,0.8930761814117432,29.72381131209913,0.03264445589834447,0.9285014271736145,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_original,geometry_on_reconstruction_effect,0.8909744620323181,18.718814553853335,0.1158935516338135,0.8089876174926758,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_original,geometry_increment_after_delta,0.8909744620323181,18.718814553853335,0.1158935516338135,0.8089876174926758,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/learned_combined_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_reconstruction,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_reconstruction/learned_delta_only_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_reconstruction,geometry_on_original_effect,0.932925283908844,32.05334284224086,0.024965074010624835,0.9686986207962036,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_original_edit.png
